Date,Price,Open,High,Low,Chg%
22-Jun-21,"67,676","67,900","68,190","67,341",-0.38%
21-Jun-21,"67,932","67,840","68,100","66,832",0.20%
18-Jun-21,"67,794","68,500","68,890","67,704",-0.09%
17-Jun-21,"67,858","71,220","71,220","67,750",-5.10%
16-Jun-21,"71,506","71,500","71,780","71,220",0.29%
15-Jun-21,"71,300","71,780","71,780","70,935",-0.86%
14-Jun-21,"71,920","72,215","72,215","71,050",-0.47%
11-Jun-21,"72,261","72,150","72,785","72,101",0.34%
10-Jun-21,"72,019","71,600","72,148","71,116",0.16%
09-Jun-21,"71,903","71,444","72,153","71,150",0.84%
08-Jun-21,"71,303","71,670","71,845","71,060",-0.75%
07-Jun-21,"71,839","71,380","71,875","70,890",0.35%
04-Jun-21,"71,585","70,785","71,778","70,415",1.02%
03-Jun-21,"70,864","72,753","72,848","69,972",-2.51%
02-Jun-21,"72,686","72,000","72,750","71,763",0.56%
01-Jun-21,"72,279","72,000","73,549","72,000",0.49%
31-May-21,"71,927","71,842","72,154","71,770",0.39%
28-May-21,"71,650","71,555","71,788","70,666",-0.13%
27-May-21,"71,740","71,465","71,800","70,928",0.36%
26-May-21,"71,485","72,200","72,900","71,300",-0.92%
25-May-21,"72,152","71,701","72,280","71,060",0.44%
24-May-21,"71,836","71,500","72,090","71,241",1.07%
21-May-21,"71,079","72,120","72,477","70,577",-1.72%
20-May-21,"72,323","72,200","72,548","71,575",-0.12%
19-May-21,"72,410","73,000","73,200","71,180",-1.07%
18-May-21,"73,192","73,500","74,171","72,739",-0.15%
17-May-21,"73,300","71,295","73,376","71,295",3.07%
14-May-21,"71,117","70,430","71,450","70,151",0.84%
13-May-21,"70,527","71,000","71,000","70,125",-0.87%
12-May-21,"71,149","71,500","72,199","71,001",-1.09%
11-May-21,"71,934","71,519","71,980","70,906",0.53%
10-May-21,"71,558","71,500","72,649","71,465",0.18%
07-May-21,"71,432","71,816","72,220","70,951",-0.35%
06-May-21,"71,683","69,826","71,894","69,669",2.92%
05-May-21,"69,649","69,958","70,123","68,870",-0.02%
04-May-21,"69,665","70,590","71,380","68,977",-1.73%
03-May-21,"70,890","68,786","71,100","68,680",5.38%
30-Apr-21,"67,270","67,489","68,106","67,151",-0.52%
29-Apr-21,"67,620","68,778","68,778","67,079",-0.38%
28-Apr-21,"67,881","68,700","68,700","67,820",-1.61%
27-Apr-21,"68,993","68,939","69,440","68,675",0.12%
26-Apr-21,"68,908","68,700","69,027","68,093",0.28%
23-Apr-21,"68,716","69,311","69,685","68,400",-0.77%
22-Apr-21,"69,248","70,252","70,395","69,201",-1.49%
21-Apr-21,"70,293","69,050","70,386","69,044",2.26%
20-Apr-21,"68,739","68,500","69,285","68,155",0.63%
19-Apr-21,"68,308","68,400","69,380","67,924",-0.54%
16-Apr-21,"68,679","68,432","69,223","68,006",0.19%
15-Apr-21,"68,550","67,664","68,735","67,664",1.31%
14-Apr-21,"67,664","67,591","67,850","67,219",-0.04%
13-Apr-21,"67,693","66,360","67,878","66,125",2.30%
12-Apr-21,"66,172","66,867","67,350","66,040",-1.27%
09-Apr-21,"67,021","67,100","67,499","66,456",-0.76%
08-Apr-21,"67,533","66,510","67,723","66,415",1.29%
07-Apr-21,"66,671","65,900","66,780","65,751",1.07%
06-Apr-21,"65,966","65,139","66,188","65,046",1.95%
05-Apr-21,"64,702","65,250","65,630","64,640",-0.79%
01-Apr-21,"65,218","63,800","65,284","63,740",1.85%
31-Mar-21,"64,032","63,280","64,140","62,632",1.07%
30-Mar-21,"63,353","64,341","64,380","63,270",-1.56%
29-Mar-21,"64,358","64,900","64,900","63,934",-1.01%
26-Mar-21,"65,016","65,006","65,390","64,725",-0.05%
25-Mar-21,"65,050","65,375","65,400","63,663",-0.63%
24-Mar-21,"65,463","65,472","65,785","65,280",0.41%
23-Mar-21,"65,198","66,205","66,470","65,050",-1.90%
22-Mar-21,"66,461","67,200","67,200","65,960",-1.69%
19-Mar-21,"67,603","67,551","67,790","67,110",-0.32%
18-Mar-21,"67,818","67,400","68,490","67,001",0.79%
17-Mar-21,"67,284","67,005","67,450","66,880",0.42%
16-Mar-21,"67,005","67,666","67,849","66,860",-1.05%
15-Mar-21,"67,714","67,227","67,924","66,923",1.19%
12-Mar-21,"66,919","67,266","67,317","66,050",-0.99%
11-Mar-21,"67,591","67,800","68,144","67,081",0.10%
10-Mar-21,"67,524","67,200","67,663","66,600",0.00%
09-Mar-21,"67,527","66,100","67,645","65,950",2.46%
08-Mar-21,"65,908","66,000","66,631","65,337",0.40%
05-Mar-21,"65,643","65,800","66,145","64,939",-0.47%
04-Mar-21,"65,953","67,500","67,750","65,685",-3.00%
03-Mar-21,"67,990","69,290","69,306","66,859",-1.77%
02-Mar-21,"69,214","68,501","69,369","66,912",0.59%
01-Mar-21,"68,811","69,299","69,851","68,620",-0.26%
26-Feb-21,"68,992","71,000","73,448","68,400",-2.89%
25-Feb-21,"71,044","70,444","72,105","69,700",1.89%
24-Feb-21,"69,725","69,896","70,021","68,940",0.24%
23-Feb-21,"69,561","70,870","70,870","69,098",-1.02%
22-Feb-21,"70,280","69,460","70,474","68,860",1.96%
19-Feb-21,"68,928","68,100","69,697","67,500",0.63%
18-Feb-21,"68,497","69,485","69,646","68,272",-1.01%
17-Feb-21,"69,194","69,480","69,594","68,350",-0.17%
16-Feb-21,"69,315","70,300","70,789","68,331",-1.06%
15-Feb-21,"70,058","69,500","70,175","69,500",1.41%
12-Feb-21,"69,082","68,431","69,429","68,330",0.92%
11-Feb-21,"68,454","68,280","69,185","68,112",-0.60%
10-Feb-21,"68,865","69,899","69,990","68,400",-1.11%
09-Feb-21,"69,638","70,550","70,666","68,950",-0.55%
08-Feb-21,"70,021","68,626","70,235","68,381",1.91%
05-Feb-21,"68,711","67,122","68,795","67,122",2.86%
04-Feb-21,"66,801","68,111","68,150","66,366",-2.55%
03-Feb-21,"68,551","68,000","69,089","67,700",1.53%
02-Feb-21,"67,521","72,500","72,500","67,300",-8.22%
01-Feb-21,"73,571","70,000","74,217","70,000",5.60%
29-Jan-21,"69,668","68,000","71,125","68,000",3.08%
28-Jan-21,"67,584","66,400","70,350","65,512",1.60%
27-Jan-21,"66,520","66,300","66,604","65,065",0.03%
25-Jan-21,"66,498","66,800","67,150","65,901",-0.18%
